SR,Drug Registration Number,Medicine Name,Strength,Unit of strength,Pharmaceutical form,Pack size,Active substance 1,Active substance 2,Active substance 3,Active substance 4,Retail Price,MAH name
2853,DRN-7951/11,Stalevo,125/31.25/200,mg,Film Coated Tablets,30's,Levodopa,Carbidopa,Entacapone ,,14.370,"Novartis Pharma AG, Switzerland."
2854,DRN-7952/11,Parzidim,500,mg,Powder For Soln.For Infusion,1's,Ceftazidime,,,,1.570,"Sandoz GmbH, Austria."
2855,DRN-7953/11,Parzidim,1000,mg,Powder For Soln.For Infusion,1' Vial,Ceftazidime,,,,2.830,"Sandoz GmbH, Austria."
2856,DRN-800/91,Myogesic,,,Tablets,20' ,Orphenadrine Citrate,Paracetamol,,,0.550,"Dar Al Dawa Development and investment Co. Ltd, Jordan."
2857,DRN-8047/11,Valdoxan,25,mg,Film Coated Tablets,28' ,Agomelatine,,,,16.280,"Les Laboratoires Servier, France."
2858,DRN-8048/11,Cefim,100,mg/5mL,Oral Suspension,60ml,Cefixime,,,,4.070,"Oman Pharmaceutical Products Co. LLC (Zynova), Oman."
2859,DRN-8049/11,Losart,50,mg,Tablets,30' ,Losartan Potassium,,,,5.390,"National Pharmaceutical Industries Co. ""SAOG"" (NPI), Oman."
2860,DRN-8050/11,Omol Cold & Flu,500/30/2,mg,Tablets,20' ,Paracetamol,Pseudoephedrine HCl ,Chlorpheniramine Maleate ,,1.020,"National Pharmaceutical Industries Co. ""SAOG"" (NPI), Oman."
2861,DRN-8051/11,Clovirax,5,%,Cream,15g ,Acyclovir,,,,9.250,"Kuwait Saudi Pharmaceutical Industries Co. (KSPICO), Kuwait."
2862,DRN-8057/11,Enterogermina,2,Billion/5mL,Oral Suspension,10' Bottles/ 5ml,Spores Of Poly-Antibiotic Resistant Bacillus Clausii,,,,2.940,"Sanofi SpA, Italy."
2863,DRN-8058/11,Enterogermina,2,Billion/5mL,Oral Suspension,20' Bottles/ 5ml,Spores Of Poly-Antibiotic Resistant Bacillus Clausii,,,,4.000,"Sanofi SpA, Italy."
2864,DRN-8059/11,Enterogermina,2,Billion/5mL,Capsules,12's ,Spores Of Poly-Antibiotic Resistant Bacillus Clausii,,,,3.810,"Sanofi SpA, Italy."
2865,DRN-8060/11,Deplatt,75,mg,Film Coated Tablets,3 x 10s,Clopidogrel Bisulfate,,,,9.160,"Torrent Pharmaceuticals Ltd, India."
2866,DRN-8061/11,TONIGHT,5,% W/W,PESSARY,15,NONOXYNOL 9,,,,3.920,"KUWAIT SAUDI PHARMACEUTICAL INDUSTRIES CO. (KSPICO), KUWAIT."
2867,DRN-8064/11,Glibeta,5/500,mg,Film Coated Tablets,30' ,Glyburide,Metformin HCl,,,1.670,"Torrent Pharmaceuticals Ltd, India."
2868,DRN-8065/11,Ilaris,150,mg/mL,Powder for Solution for Injection,1' ,Canakinumabum,,,,7003.320,"Novartis Pharma AG, Switzerland."
2869,DRN-8066/11,Gilenya,0.5,mg,Hard Gelatin Capsules,28' ,Fingolimod HCl,,,,1070.620,"Novartis Pharma AG, Switzerland."
2870,DRN-8071/11,Defadol,160,mg/5mL,Syrup,145ml,Paracetamol,,,,0.710,"DEEF Pharmaceutical Industries Co., KSA."
2871,DRN-8074/11,Co-Tritace,5/12.5,mg,Tablets,28' ,Ramipril,Hydrochlorothiazide ,,,9.130,"Sanofi-Aventis France, France."
2872,DRN-8076/11,Daivobet,0.5/50,mcg/g,Ointment,60g ,Betamethasone,Calcipotriol,,,23.410,"LEO Pharma A/S, Denmark."
2873,DRN-8078/11,Ecalta,100,mg,Powder for Concentratin for solution for Infusion,1' Vial of 100mg Powder (30ml),Anidulafungin,,,,84.830,"Pfizer Limited, UK."
2874,DRN-8079/11,YONDELIS,1,MG,POWDER FOR CONCENTRATE FOR SOLUTION FOR INFUSION,1,TRABECTEDIN,,,,1163.450,"JANSSEN CILAG INTERNATIONAL NV, BELGIUM."
2875,DRN-8080/11,Deforax,5,%,Cream,15g,Acyclovir,,,,5.600,"DEEF Pharmaceutical Industries Co., KSA."
2876,DRN-8087/11,Amaryl M SR,2/500,mg,Tablets,30's,Glimepiride,Metformin HCl ,,,3.350,"Handok Inc, Korea."
2877,DRN-8088/11,Feromax,20,mg/mL,Injection,5' x 5ml,Iron Sucrose,,,,10.120,"Gulf Pharmaceutical Industries (Julphar), UAE."
2878,DRN-8089/11,Phentolep,250,mg/5mL,IV Injection,5's,Phenytoin Sodium,,,,15.010,"Hikma Pharmaceuticals Co. Ltd, Jordan."
2879,DRN-8090/11,Coldrin,,,Syrup,100ml,Pseudoephedrine HCl,Triprolidine HCl,,,0.390,"National Pharmaceutical Industries Co. ""SAOG"" (NPI), Oman."
2880,DRN-8091/11,Pantor,20,mg,Tablets,10' ,Pantoprazole,,,,2.220,"Torrent Pharmaceuticals Ltd, India."
2881,DRN-8092/11,Pantor,40,mg,Tablets,10' ,Pantoprazole,,,,3.110,"Torrent Pharmaceuticals Ltd, India."
2882,DRN-8093/11,Taxotere,20,mg/1mL,Solution for infusion,1' Vial,Docetaxel Trihydrate,,,,73.420,"Aventis Pharma SA, France."
2883,DRN-8094/11,Taxotere,80,mg/4mL,Solution for infusion,1 vial,Docetaxel Trihydrate,,,,219.950,"Aventis Pharma SA, France."
2884,DRN-8097/11,Omacillin,250,mg/5mL,Powder for Oral Suspension,100ml,Amoxicillin,,,,1.350,"National Pharmaceutical Industries Co. ""SAOG"" (NPI), Oman."
2885,DRN-8098/11,Omaceph,250,mg/5mL,Oral Suspension,100ml,Cephalexin Monohydrate,,,,1.210,"National Pharmaceutical Industries Co. ""SAOG"" (NPI), Oman."
2886,DRN-8099/11,Lohist-Extra,5/60,mg/5mL,Syrup,100ml,Loratadine,Pseudoephedrine HCl,,,1.730,"National Pharmaceutical Industries Co. ""SAOG"" (NPI), Oman."
2887,DRN-8100/11,Medaxonum,1,g,Powder For Injection,1 Type -I Glass Vial,Ceftriaxone Sodium,,,,2.520,"Medochemie Ltd, Cyprus."
2888,DRN-8101/11,Metta SR,500,mg,Tablets,3 x 10s,Metformin HCl ,,,,1.860,"Torrent Pharmaceuticals Ltd, India."
2889,DRN-8103/11,Curam,1.2,g,Powder for Solution for Injection,10 VAILS,Amoxicillin,Clavulanic Acid,,,13.190,"Sandoz GmbH, Austria."
2890,DRN-8104/11,Curam,2.2,g,Powder for Solution for Injection,5 VAILS,Amoxicillin,Clavulanic Acid,,,15.390,"Sandoz GmbH, Austria."
2891,DRN-8105/11,Curam,2.2,g,Powder for Solution for Injection,1 VAIL,Amoxicillin,Clavulanic Acid,,,3.140,"Sandoz GmbH, Austria."
2892,DRN-8106/11,Curam,600,mg,Powder for Solution for Injection,10 VAILS,Amoxicillin,Clavulanic Acid,,,8.310,"Sandoz GmbH, Austria."
2893,DRN-8110/11,Venlift Od,75,mg,Extended Release Tablets,14' ,Venlafaxine,,,,7.130,"Torrent Pharmaceuticals Ltd, India."
2894,DRN-8111/11,Venlift Od,150,mg,Extended Release Tablets,14' ,Venlafaxine,,,,10.180,"Torrent Pharmaceuticals Ltd, India."
2895,DRN-8113/11,Rotarix,,,Oral Suspension,Monodose 1 .5ml Prefilled Oral applicator,"Human Rotavirus, Live Attenuated Rix4414 Strain NLT 106.0 CCID50/1.5mL",,,,24.540,"GlaxoSmithKline Biologics SA, Belgium."
2896,DRN-8114/11,Cefovex,500,mg,Tablets,10' ,Cefuroxime Axetil,,,,5.440,"Oman Pharmaceutical Products Co. LLC (Zynova), Oman."
2897,DRN-8115/11,Ezaderm,20,%,Cream,15g,Fusidic Acid,Betamethasone Valerate,,,0.840,"United Pharmaceutical Manufacturing Co. Ltd, Jordan."
2898,DRN-8121/11,Dioclav,625,mg,Tablets,20' s,Amoxicillin,Clavulanic Acid,,,5.090,"National Pharmaceutical Industries Co. ""SAOG"" (NPI), Oman."
2899,DRN-8122/11,Dioclav,1,g,Tablets,14' ,Amoxicillin,Clavulanic Acid,,,6.510,"National Pharmaceutical Industries Co. ""SAOG"" (NPI), Oman."
2900,DRN-8124/11,Cyclovin,1,%,Ophthalmic Ointment,5g,Tetracycline HCl,,,,0.760,"Kuwait Saudi Pharmaceutical Industries Co. (KSPICO), Kuwait."
2901,DRN-8129/11,Sandimmun Neoral,25,mg,Capsules,50' ,Cyclosporine,,,,22.730,"Novartis Pharma AG, Switzerland."
2902,DRN-8130/11,Sandimmun Neoral,50,mg,Capsules,50' ,Cyclosporine,,,,39.620,"Novartis Pharma AG, Switzerland."
2903,DRN-8131/11,Sandimmun Neoral,100,mg,Capsules,50' ,Cyclosporine,,,,88.000,"Novartis Pharma AG, Switzerland."
2904,DRN-8132/11,Veloze,20,mg,Injection,1 Vial,Rabeprazole Sodium,,,,2.320,"Torrent Pharmaceuticals Ltd, India."
2905,DRN-8135/11,Xorimax,250,mg,Film Coated Tablets,10' ,Cefuroxime Axetil,,,,3.040,"Sandoz GmbH, Austria."
2906,DRN-8136/11,Xorimax,500,mg,Film Coated Tablets,10' ,Cefuroxime Axetil,,,,5.440,"Sandoz GmbH, Austria."
2907,DRN-8137/11,Spasmex,30,mg,Tablets,50' ,Trospium Chloride,,,,14.780,"Ferring GmbH, Germany."
2908,DRN-8138/11,Brilinta,90,mg,Film Coated Tablets,56' ,Ticagrelor,,,,31.880,"AstraZeneca AB, Sweden."
2909,DRN-8139/11,Resolve Nappy Rash,0.25/15,% w/w,Ointment,100gm,Miconazole,Zinc Oxide,,,3.720,"Ego Pharmaceuticals Pty Ltd, Australia."
2910,DRN-8140/11,Gliconorm,500/5,mg,Film Coated Tablets,Opaque PVC/ALUM 36' ,Glibenclamide,Metformin HCl,,,2.140,"Abiogen Pharma SpA, Italy."
2911,DRN-8141/11,Hiten,2,mg,Tablets,3 x 10' PVC/PVDC Aluminium Blister,Perindopril Tert-Butylamine,,,,4.840,"Aurobindo Pharma Ltd, India."
2912,DRN-8142/11,Hiten,4,mg,Tablets,3 x 10' s,Perindopril Tert-Butylamine ,,,,8.090,"Aurobindo Pharma Ltd, India."
2913,DRN-8143/11,Hiten,8,mg,Tablets,3 x 10' s,Perindopril Tert-Butylamine ,,,,9.260,"Aurobindo Pharma Ltd, India."
2914,DRN-8144/11,Clasteon,400,mg,Capsules,10' PVC/PVDC alum Blister Pack,Clodronate Disodium,,,,6.380,"Abiogen Pharma SpA, Italy."
2915,DRN-8145/12,RISDONE,1,MG/ML,ORAL SOLUTION,100ML,RISPERIDONE,,,,22.510,"DAR AL DAWA DEVELOPMENT AND INVESTMENT CO. LTD, JORDAN."
2916,DRN-8146/12,Viscor,10,mg,Tablets,30's,Simvastatin,,,,5.030,"National Pharmaceutical Industries Co. ""SAOG"" (NPI), Oman."
2917,DRN-8147/12,Spectromax,250,mg,Tablets,14' ,Clarithromycin,,,,3.310,"National Pharmaceutical Industries Co. ""SAOG"" (NPI), Oman."
2918,DRN-8148/12,Spectromax,500,mg,Tablets,14' ,Clarithromycin,,,,5.600,"National Pharmaceutical Industries Co. ""SAOG"" (NPI), Oman."
2919,DRN-8149/12,Hedralix,3.5,mg/5mL,Syrup,100ml,Dried Ivy Leaf Extract,,,,0.930,"National Pharmaceutical Industries Co. ""SAOG"" (NPI), Oman."
2920,DRN-8150/12,Takepron,30,mg,Capsules,28' ,Lansoprazole,,,,15.860,"The Arab Pharmaceutical Manufacturing Co. (APM), Jordan."
2921,DRN-8152/12,Levoflox,500,mg,Tablets,5' ,Levofloxacin,,,,4.180,"National Pharmaceutical Industries Co. ""SAOG"" (NPI), Oman."
2922,DRN-8153/12,Zanipress,10/10,mg,Film Coated Tablets,30's,Lercanidipine HCl,Enalapril Maleate ,,,8.320,"Algorithm SAL, Lebanon."
2923,DRN-8154/12,Zanipress,10/20,mg,Film Coated Tablets,30's,Lercanidipine HCl ,Enalapril Maleate,,,9.360,"Algorithm SAL, Lebanon."
2924,DRN-8155/12,Arcalion,200,mg,Tablets,30's,Sulbutiamine,,,,4.130,"Les Laboratoires Servier, France."
2925,DRN-8156/12,Tabunex,0.05,% w/w,Nasal Spray,120' Metered Sprays,Mometasone Furoate,,,,4.140,"Tabuk Pharmaceutical Manufacturing Company, KSA."
2926,DRN-8157/12,Pregnyl,5000,IU/mL,Powder and Suspension For Injection,1' Ampoule,Chorionic Gonadotropin,,,,2.250,"N.V. Organon, The Netherlands."
2927,DRN-8158/12,Mucinex,600,mg,Tablets,20's,Guaifenesin,,,,3.710,"Reckitt Benckiser LLC, USA."
2928,DRN-8159/12,Fucidin,20,mg/g,Ointment,30g,Sodium Fusidate,,,,2.260,"LEO Pharma A/S, Denmark."
2929,DRN-8160/12,Fucidin H,20/10,mg/g,Cream,30g,Fusidic Acid,Hydrocortisone Acetate,,,3.790,"LEO Pharma A/S, Denmark."
2930,DRN-8161/12,Fucidin,20,mg/g,Cream,30g,Fusidic Acid,,,,2.260,"LEO Pharma A/S, Denmark."
2931,DRN-8162/12,Neuroplex,300,mg,Capsules,50's,Gabapentin,,,,8.670,"Tabuk Pharmaceutical Manufacturing Company, KSA."
2932,DRN-8163/12,Nevanac,1,mg/mL,Drops,5ml LDPE Bottle,Nepafenac,,,,3.000,"Alcon Couvreur NV, Belgium."
2933,DRN-8164/12,Pentasa Xtend,2,g,Sachets Prolonged Release Granules,60' Sachets,Mesalazine,,,,49.380,"Ferring GmbH, Germany."
2934,DRN-8165/12,Saizen,8,mg,Powder for Solution for Injection,1 Glass VAIL + 1 Cartridge DiluentT,Somatropin,,,,86.530,"Merck Serono SpA, Italy."
2935,DRN-8166/12,Alzental,20,mg/mL,Suspension,20ml,Albendazole,,,,0.650,"Egyptian International Pharmaceutical Industries Co. (EIPICO), Egypt."
2936,DRN-8167/12,Rantag,50,mg/2mL,Injection,50's,Ranitidine HCl,,,,18.550,"Gulf Pharmaceutical Industries (Julphar), UAE."
2937,DRN-8168/12,3V,1,mg/3mL,Injection,50' ,Cyanocobalamin,Pyridoxine HCl,Thiamine HCl,,15.310,"Gulf Pharmaceutical Industries (Julphar), UAE."
2938,DRN-8169/12,Mebo-Herbal,0.25,g/100g,Ointment,75g,B-Sitosterol,,,,9.280,"Gulf Pharmaceutical Industries (Julphar), UAE."
2939,DRN-8170/12,Olmetec Plus,40/12.5,mg,Film Coated Tablets,28' ,Olmesartan Medoxomil,Hydrochlorothiazide ,,,13.010,"Saudi Arabian Japanese Pharmaceutical Company Limited (SAJA), KSA."
2940,DRN-8171/12,Olmetec Plus,40mg/25,mg,Film Coated Tablets,28' ,Olmesartan Medoxomil,Hydrochlorothiazide ,,,13.010,"Saudi Arabian Japanese Pharmaceutical Company Limited (SAJA), KSA."
2941,DRN-8172/12,Olmetec Plus,20/12.5,mg,Film Coated Tablets,28' ,Olmesartan Medoxomil,Hydrochlorothiazide ,,,9.770,"Saudi Arabian Japanese Pharmaceutical Company Limited (SAJA), KSA."
2942,DRN-8173/12,Oprazole,40,mg,Infusion,1 Vial,Omeprazole,,,,3.620,"Hikma Pharmaceuticals Co. Ltd, Jordan."
2943,DRN-8174/12,Gabatrex,300,mg,Capsules,50's ,Gabapentin,,,,10.530,"Hikma Pharmaceuticals Co. Ltd, Jordan."
2944,DRN-8175/12,Gabatrex,400,mg,Capsules,50' ,Gabapentin,,,,13.750,"Hikma Pharmaceuticals Co. Ltd, Jordan."
2945,DRN-8176/12,Toprazole,40,mg,Tablets,15' tabs,Pantoprazole,,,,5.820,"Tabuk Pharmaceutical Manufacturing Company, KSA."
2946,DRN-8177/12,Toprazole,40,mg,Entric Coated Tablets,30' ,Pantoprazole,,,,10.240,"Tabuk Pharmaceutical Manufacturing Company, KSA."
2947,DRN-8178/12,Aurotaz-P,2.25,g,Injection,1' Vial,Piperacillin Sodium,Tazobactam Sodium,,,4.340,"Aurobindo Pharma Ltd, India."
2948,DRN-8179/12,Aurotaz-P,4.5,g,Injection,1' Vial,Piperacillin Sodium,Tazobactam Sodium,,,6.860,"Aurobindo Pharma Ltd, India."
2949,DRN-8180/12,Zytiga,250,mg,Tablets,120' s,Abiraterone Acetate,,,,1620.960,Janssen-Cilag  International NV/ Belgium
2950,DRN-8181/12,Neoxicam,7.5,mg,Tablets,30' ,Meloxicam,,,,1.830,"Neopharma LLC, UAE."
2951,DRN-8182/12,Neoxicam,15,mg,Tablets,30' ,Meloxicam,,,,3.340,"Neopharma LLC, UAE."
2952,DRN-8183/12,Panadol Sinus Relief Pe,500/5,mg,Caplets,24' ,Paracetamol,Phenylephrine HCl,,,1.170,"GlaxoSmithKline Consumer Healthcare Australia Pty Ltd, Australia."
2953,DRN-8184/12,Panadol Cold & Flu Night Relief Pe,500/2/5,mg,Caplets,24' s,Paracetamol,Chlorpheniramine Maleate,Phenylephrine HCl,,1.320,"GlaxoSmithKline Consumer Healthcare Australia Pty Ltd, Australia."
2954,DRN-8185/12,Systane Ultra UD,,,Lubricant Eye Drops, 0.7ml x 30 vials,Hydroxypropyl Guar 8A ,Polyethylene Glycol 400,Propylene Glycol ,"Sorbitol, Potassium Chloride, Sodium Chloride, Boric Acid ",5.090,"Alcon Couvreur NV, Belgium."
2955,DRN-8186/12,Neurovit,,,Ampoules,3' ,Vit B1,Vit B12,Vit B6 ,,1.370,"Amriya Pharmaceutical Industries Co., Egypt."
2956,DRN-8187/12,AMRI-K,10,MG/ML,SOLUTION FOR INJECTION,5 x 1ML,PHYTOMENADIONE,,,,1.490,"AMRIYA PHARMACEUTICAL INDUSTRIES CO., EGYPT."
2957,DRN-8188/12,Gaviscon Double Action Liquid,500,mg,Suspension,150ml,Calcium Carbonate,Sodium Alginate,Sodium Bicarbonate,,1.030,"Reckitt Benckiser Healthcare (UK) Ltd, UK."
2958,DRN-8189/12,Arzerra,20,mg/mL,Concentrate for Solution for Infusion,1' Vial 1000mg/50ml,Ofatumumab,,,,1236.560,"Novartis Pharma AG, Switzerland."
2959,DRN-8190/12,Arzerra,20,mg/mL,Concentrate for Solution for Infusion,3' Vial 100mg/5ml,Ofatumumab,,,,370.970,"Novartis Pharma AG, Switzerland."
2960,DRN-8191/12,Dysport,500,Units,Powder for Injection,Box of 1 Vial,Clostridium Botulinum Type A Toxin Haemagglutinn Complex ,,,,137.090,"Ipsen Limited, UK."
2961,DRN-8192/12,Claritt XL,500,mg,Extended Release Tablets,14's,Clarithromycin,,,,5.910,"Tabuk Pharmaceutical Manufacturing Company, KSA."
2962,DRN-8193/12,Lorinase,5/120,mg,Bilayer Tablets,14' ,Loratadine,Pseudoephedrine Sulfate,,,1.440,"Saudi Pharmaceutical Industries and Medical Appliances Co-operation (SPIMACO), KSA."
2963,DRN-8194/12,Norvir,100,mg,Film Coated Tablets,30' ,Ritonavir,,,,15.320,"Abbvie Ltd, UK."
2964,DRN-8195/12,Bydureon,2,mg,Powder For Injection,4' Single Dosee Kit,Exenatide,,,,59.410,"AstraZeneca AB, Sweden."
2965,DRN-8197/12,Eligard,7.5,mg,Powder & Solvent for Solution for Injection,1 PFS Powder (syrings B) and 1 PFS Solvent (syrings A),Leuprorelin Acetate,,,,67.690,"Astellas Pharma Europe BV (Site), The Netherlands."
2966,DRN-8198/12,Eligard,22.5,mg,Powder & Solvent for Solution for Injection,1 PFS Powder (syrings B) and 1 PFS Solvent (syrings A),Leuprorelin Acetate,,,,160.860,"Astellas Pharma Europe BV (Site), The Netherlands."
2967,DRN-8199/12,Eligard,45,mg,Powder & Solvent for Solution for Injection,1 PFS Powder (syrings B) and 1 PFS Solvent (syrings A),Leuprorelin Acetate,,,,276.680,"Astellas Pharma Europe BV (Site), The Netherlands."
2968,DRN-82/89,Histac,150,mg,Tablets,20' ,Ranitidine HCl,,,,1.040,"Sun Pharmaceutical Industries Limited, India."
2969,DRN-8202/12,Twynsta,80/5,mg,Tablets,28,Telmisartan,Amlodepine Besylate,,,14.260,"Boehringer Ingelheim International GmbH, Germany."
2970,DRN-8203/12,Twynsta,80/10,mg,Tablets,28' ,Telmisartan,Amlodepine Besylate,,,14.260,"Boehringer Ingelheim International GmbH, Germany."
2971,DRN-8204/12,Panda,500,mg,Caplets,36' ,Paracetamol,Caffeine,,,0.450,"Jordan Sweden Medical & Sterilization Co. Ltd, Jordan."
2972,DRN-8205/12,Panda,500,mg,Caplets,96' Opaque PVC ALUM,Acetaminophen,,,,0.790,"Jordan Sweden Medical & Sterilization Co. Ltd, Jordan."
2973,DRN-8206/12,Panda Strong,1000,mg,Caplets,48' ,Acetaminophen,,,,0.930,"Jordan Sweden Medical & Sterilization Co. Ltd, Jordan."
2974,DRN-8211/12,L-Cet,5,mg,Tablets,20's,Levocetirizine Dihydrochloride,,,,2.260,"Oman Pharmaceutical Products Co. LLC (Zynova), Oman."
2975,DRN-8212/12,Kombiglyze XR,500/5,mg,Tablets,30',Saxagliptin ,Metformin HCl,,,15.290,"AstraZeneca AB, Sweden."
2976,DRN-8213/12,Kombiglyze XR,1000/5,mg,Tablets,30,Saxagliptin ,Metformin HCl,,,15.730,"AstraZeneca AB, Sweden."
2977,DRN-8214/12,Kombiglyze XR,1000/2.5,mg,Tablets,60's,Saxagliptin ,Metformin HCl,,,16.400,"AstraZeneca AB, Sweden."
2978,DRN-8215/12,G-Pride,1,mg,Tablets,10' ,Glimepiride,,,,0.470,"Oman Pharmaceutical Products Co. LLC (Zynova), Oman."
2979,DRN-8216/12,G-Pride,2,mg,Tablets,10' ,Glimepiride,,,,0.760,"Oman Pharmaceutical Products Co. LLC (Zynova), Oman."
2980,DRN-8217/12,G-Pride,3,mg,Tablets,10's,Glibenclamide,,,,1.090,"Oman Pharmaceutical Products Co. LLC (Zynova), Oman."
2981,DRN-8218/12,G-Pride,4,mg,Tablets,10's,Glimepiride,,,,1.250,"Oman Pharmaceutical Products Co. LLC (Zynova), Oman."
2982,DRN-8219/12,Aramen,,,Powder for Solution for Injection,1' Dose (2 Vial)/ Packagege,Meningococcal Group C,Meningococcal Group W135,Meningococcal Group Y,Meningococci A Vaccine,25.590,"Novartis Vaccines & Diagnostics Srl, Italy."
2983,DRN-8220/12,Ginette 35,0.035,mg,Tablets,28' Alu-PVC Blister strip,Cyproterone Acetate,Ethinylestradiol ,,,2.040,"Cipla Ltd, India."
2984,DRN-8221/12,Osteo-Alfa,0.25,mcg,Soft Gelatin Capsules,30',Alfacalcidol,,,,2.330,"United Pharmaceutical Manufacturing Co. Ltd, Jordan."
2985,DRN-8222/12,Osteo-Alfa,1,mcg,Soft Gelatin Capsules,30' ,Alfacalcidol,,,,6.000,"United Pharmaceutical Manufacturing Co. Ltd, Jordan."
2986,DRN-8223/12,Alzental,200,mg,Film Coated Tablets,2' ,Albendazole,,,,0.370,"Egyptian International Pharmaceutical Industries Co. (EIPICO), Egypt."
2987,DRN-8224/12,Sancuso,3.1,mg,Transdermal Patches,52CM² PATCH1' ,Granisetron,,,,87.190,"KYOWA KIRIN INC., USA."
2988,DRN-8225/12,Methycobal,500,mcg,Sugar Coated Tablets,30' ALU Blister,Mecobalamin,,,,2.360,"Eisai Co. Ltd, Japan."
2989,DRN-8226/12,Methycobal,500,mcg,Sugar Coated Tablets,100' ALU Blister,Mecobalamin,,,,7.860,"Eisai Co. Ltd, Japan."
2990,DRN-8227/12,Pred Forte,1,%,Eye Drops,5ml,Prednisolone Acetate,,,,1.380,"Allergan Pharmaceuticals Ireland, Ireland."
2991,DRN-8228/12,Myonal,50,mg,Tablets,30' alu Blister,Eperisone HCl,,,,3.550,"Eisai Co. Ltd, Japan."
2992,DRN-8229/12,Myonal,50,mg,Sugar Coated Tablets,100' Alu Blister,Eperisone HCl,,,,8.950,"Eisai Co. Ltd, Japan."
2993,DRN-8230/12,Methycobal,500,mcg,Injection,1 ml x 10,Mecobalamin,,,,5.850,"Eisai Co. Ltd, Japan."
2994,DRN-8231/12,Luveris,75,IU,Powder For Injection,1 Vial Powder for solution + 1 Vial of Solvent,Lutropin Alfa,,,,15.670,"Merck Serono Europe Limited, UK."
2995,DRN-8232/12,Be-Stedy,8,mg,Tablets,10 x 10' PVC/AL Blister,Betahistine Dihydrochloride,,,,5.990,"Aurobindo Pharma Ltd, India."
2996,DRN-8233/12,Be-Stedy,16,mg,Tablets,10 x 10' PVC/AL Blister,Betahistine Dihydrochloride,,,,9.450,"Aurobindo Pharma Ltd, India."
2997,DRN-8234/12,Be-Stedy,24,mg,Tablets,10 x 10' PVC/AL Blister,Betahistine Dihydrochloride,,,,13.550,"Aurobindo Pharma Ltd, India."
2998,DRN-8235/12,FAST-FLAM,50,MG,FILM-COATED TABLET,20,DICLOFENAC POTASSIUM,,,,1.390,"JAMJOOM PHARMACUTICALS COMPANY, KSA."
2999,DRN-8236/13,EPICEPHIN,1,G,POWDER AND SOLVENT FOR SOLUTION FOR INJECTION,1 + 1,CEFTRIAXONE ,,,,1.530,"EGYPTIAN INTERNATIONAL PHARMACEUTICAL INDUSTRIES CO. (EIPICO), EGYPT."
3000,DRN-8237/13,ABSTRAL,100,MCG,SUBLINGUAL TABLET,10,FENTANYL CITRATE,,,,33.460,"KYOWA KIRIN LIMITED, UK. "
3001,DRN-8238/13,ABSTRAL,200,MCG,SUBLINGUAL TABLET,10,FENTANYL CITRATE,,,,33.460,"KYOWA KIRIN LIMITED, UK. "
3002,DRN-8239/13,ABSTRAL,400,MCG,SUBLINGUAL TABLET,10,FENTANYL CITRATE,,,,33.460,"KYOWA KIRIN LIMITED, UK. "
3003,DRN-8240/13,Pozineg,1000,mg,Injection,1' Vial,Cefepime,,,,3.530,"Aurobindo Pharma Ltd, India."
3004,DRN-8241/13,Pozineg,2000,mg,Injection,1' Vial,Cefepime,,,,5.570,"Aurobindo Pharma Ltd, India."
3005,DRN-8242/13,ALLERGODIL,0.14,ML/DOSE,NASAL SPRAY,10ML,AZELASTINE HCL,,,,3.440,"MEDA PHARMA GMBH & CO. KG, GERMANY."
3006,DRN-8243/13,Diclopid,50,mg,Film Coated Tablets,20' ,Diclofenac Potassium,,,,1.330,"National Pharmaceutical Industries Co. ""SAOG"" (NPI), Oman."
3007,DRN-8244/13,Xalkori,200,mg,Capsules,60' ,Crizotinib,,,,3009.780,"Pfizer Inc, USA."
3008,DRN-8245/13,Xalkori,250,mg,Capsules,60' ,Crizotinib,,,,3009.780,"Pfizer Inc, USA."
3009,DRN-8249/13,YAZ,3/0.02,MG,FILM-COATED TABLET,28,DROSPIRENONE,ETHINYL ESTRADIOL,,,4.670,"BAYER PHARMA AG, GERMANY."
3010,DRN-8250/13,ELIQUIS,2.5,MG,FILM-COATED TABLET,60,APIXABAN,,,,39.990,"BRISTOL-MYERS SQUIBB/ PFIZER EEIG, UK."
3011,DRN-8251/13,Telfadin,120,mg,Tablets,10's,Fexofenadine HCl,,,,0.940,"National Pharmaceutical Industries Co. ""SAOG"" (NPI), Oman."
3012,DRN-8252/13,Telfadin,180,mg,Tablets,10's,Fexofenadine HCl,,,,0.940,"National Pharmaceutical Industries Co. ""SAOG"" (NPI), Oman."
3013,DRN-8253/13,RESOLOR,1,MG,FILM-COATED TABLET,28,PRUCALOPRIDE,,,,16.550,"JANSSEN CILAG INTERNATIONAL NV, BELGIUM."
3014,DRN-8254/13,RESOLOR,2,MG,FILM-COATED TABLET,28,PRUCALOPRIDE,,,,25.190,"JANSSEN CILAG INTERNATIONAL NV, BELGIUM."
3015,DRN-8256/13,Enbrel,50,mg,Solution For Injection,Pack of 4' Prefilled Pens,Etanercept,,,,564.490,"Pfizer Ireland Pharmaceuticals, Ireland."
3016,DRN-8259/13,Prolia,60,mg/mL,Prefilled Syringe Injection,1 ml PFS with automatic needle guard,Denosumab,,,,112.300,"Amgen Europe BV, The Netherlands."
3017,DRN-8260/13,Vectibix,20,mg/mL,Solution For Infusion,20mg/ml 5ml Vial,Panitumumab,,,,271.110,"Amgen Europe BV, The Netherlands."
